,Date,Open,High,Low,Close,Adj_Close,Volume,Dividend_Amt,Split_Coeff
0,2018-03-22,896.0,911.95,895.75,908.15,908.15,10116965,0.0,1.0
1,2018-03-21,894.85,902.35,893.3,896.9,896.9,6727204,0.0,1.0
2,2018-03-20,893.3,904.0,887.05,889.8,889.8,6945721,0.0,1.0
3,2018-03-19,901.0,906.9,892.0,895.5,895.5,5774392,0.0,1.0
4,2018-03-16,909.0,909.7,886.05,900.05,900.05,14087564,0.0,1.0
5,2018-03-15,925.0,929.45,910.0,911.8,911.8,5811424,0.0,1.0
6,2018-03-14,928.8,932.05,919.2,929.05,929.05,6731530,0.0,1.0
7,2018-03-13,931.9,936.0,921.35,931.85,931.85,5096825,0.0,1.0
8,2018-03-12,920.0,933.1,917.55,930.3,930.3,3801407,0.0,1.0
9,2018-03-09,914.9,919.35,911.05,913.1,913.1,4863577,0.0,1.0
10,2018-03-08,897.65,914.5,893.3,911.45,911.45,6072983,0.0,1.0
11,2018-03-07,909.25,909.25,888.05,889.75,889.75,7247708,0.0,1.0
12,2018-03-06,929.0,936.2,905.1,910.85,910.85,7323680,0.0,1.0
13,2018-03-05,948.4,950.15,921.6,924.1,924.1,5634893,0.0,1.0
14,2018-03-01,949.75,959.9,945.95,948.4,948.4,4094652,0.0,1.0
15,2018-02-28,945.95,957.1,943.2,954.55,954.55,25898694,0.0,1.0
16,2018-02-27,939.0,955.8,938.35,950.5,950.5,6410097,0.0,1.0
17,2018-02-26,939.0,944.9,936.6,938.7,938.7,3856478,0.0,1.0
18,2018-02-23,925.4,938.0,922.75,934.25,934.25,4850839,0.0,1.0
19,2018-02-22,922.0,931.0,920.0,924.35,924.35,5118850,0.0,1.0
20,2018-02-21,930.0,932.5,922.15,929.35,929.35,5448230,0.0,1.0
21,2018-02-20,929.0,929.55,918.8,921.1,921.1,3866919,0.0,1.0
22,2018-02-19,921.0,932.0,913.55,927.0,927.0,4087936,0.0,1.0
23,2018-02-16,939.6,942.6,918.1,921.3,921.3,4401672,0.0,1.0
24,2018-02-15,937.65,945.75,928.15,935.65,935.65,6109454,0.0,1.0
25,2018-02-14,915.5,942.5,915.5,933.65,933.65,10170959,0.0,1.0
26,2018-02-12,903.0,918.2,902.05,915.5,915.5,5429792,0.0,1.0
27,2018-02-09,889.0,902.0,886.0,897.85,897.85,5294279,0.0,1.0
28,2018-02-08,897.9,910.65,892.35,904.55,904.55,6320734,0.0,1.0
29,2018-02-07,902.55,905.4,890.0,894.4,894.4,7100838,0.0,1.0
30,2018-02-06,877.0,898.0,871.0,892.1,892.1,11000448,0.0,1.0
31,2018-02-05,894.0,912.5,881.8,902.15,902.15,8773525,0.0,1.0
32,2018-02-02,935.0,943.95,901.0,904.35,904.35,13242095,0.0,1.0
33,2018-02-01,963.25,972.6,936.6,943.85,943.85,7554587,0.0,1.0
34,2018-01-31,950.0,964.5,941.55,961.3,961.3,5738209,0.0,1.0
35,2018-01-30,965.8,965.8,949.0,950.4,950.4,4198139,0.0,1.0
36,2018-01-29,965.9,977.3,959.3,964.5,964.5,4524605,0.0,1.0
37,2018-01-25,967.9,972.0,956.15,965.9,965.9,6249419,0.0,1.0
38,2018-01-24,981.75,981.75,962.65,966.35,966.35,6532672,0.0,1.0
39,2018-01-23,975.0,990.95,975.0,983.25,983.25,10298500,0.0,1.0
40,2018-01-22,948.0,974.3,940.0,971.5,971.5,20892838,0.0,1.0
41,2018-01-19,923.0,934.4,922.1,931.3,931.3,4559564,0.0,1.0
42,2018-01-18,929.0,929.6,915.1,919.7,919.7,4289053,0.0,1.0
43,2018-01-17,926.0,929.0,907.0,924.5,924.5,6036432,0.0,1.0
44,2018-01-16,947.7,947.7,920.0,922.95,922.95,4948895,0.0,1.0
45,2018-01-15,950.0,958.5,945.2,949.15,949.15,5084113,0.0,1.0
46,2018-01-12,943.0,952.8,938.25,949.0,949.0,6890028,0.0,1.0
47,2018-01-11,941.8,942.65,935.0,937.75,937.75,3588377,0.0,1.0
48,2018-01-10,943.0,947.4,935.5,942.35,942.35,5361502,0.0,1.0
49,2018-01-09,928.15,943.9,924.0,940.95,940.95,6534997,0.0,1.0
50,2018-01-08,926.1,931.0,923.5,928.55,928.55,4035417,0.0,1.0
51,2018-01-05,921.8,926.9,920.25,923.25,923.25,3401905,0.0,1.0
52,2018-01-04,918.15,921.8,915.7,920.3,920.3,4118581,0.0,1.0
53,2018-01-03,925.0,926.0,913.05,914.8,914.8,6175312,0.0,1.0
54,2018-01-02,913.0,919.55,906.4,911.15,911.15,4342815,0.0,1.0
55,2018-01-01,922.7,922.7,907.5,909.75,909.75,4321686,0.0,1.0
56,2017-12-29,926.5,932.3,918.5,921.05,921.05,5069838,0.0,1.0
57,2017-12-28,925.25,934.4,919.1,924.2,924.2,7091515,0.0,1.0
58,2017-12-27,933.0,937.5,919.0,923.75,923.75,4352384,0.0,1.0
59,2017-12-26,920.4,938.9,918.15,929.8,929.8,5301456,0.0,1.0
60,2017-12-22,914.65,922.4,909.3,920.4,920.4,4872675,0.0,1.0
61,2017-12-21,918.45,923.95,910.0,912.95,912.95,4147162,0.0,1.0
62,2017-12-20,925.9,927.4,917.0,918.15,918.15,4774414,0.0,1.0
63,2017-12-19,923.6,927.0,920.0,925.95,925.95,4064982,0.0,1.0
64,2017-12-18,911.95,932.65,862.65,921.0,921.0,8494801,0.0,1.0
65,2017-12-15,931.0,932.95,917.7,919.75,919.75,11158706,0.0,1.0
66,2017-12-14,919.0,924.9,908.75,921.5,921.5,5021130,0.0,1.0
67,2017-12-13,916.9,924.95,910.7,914.65,914.65,4182097,0.0,1.0
68,2017-12-12,915.95,929.0,908.0,915.6,915.6,7215014,0.0,1.0
69,2017-12-11,922.45,926.0,913.55,916.15,916.15,4933853,0.0,1.0
70,2017-12-08,933.85,936.95,919.05,921.0,921.0,5588486,0.0,1.0
71,2017-12-07,930.05,936.0,923.0,931.55,931.55,5529565,0.0,1.0
72,2017-12-06,910.0,930.3,908.8,926.65,926.65,11007689,0.0,1.0
73,2017-12-05,901.05,920.75,895.45,913.7,913.7,8369174,0.0,1.0
74,2017-12-04,913.5,913.8,897.35,901.6,901.6,4618847,0.0,1.0
75,2017-12-01,924.45,931.25,907.7,910.1,910.1,5081389,0.0,1.0
76,2017-11-30,941.45,941.45,919.5,921.55,921.55,9434893,0.0,1.0
77,2017-11-29,941.85,950.0,941.0,946.0,946.0,3674864,0.0,1.0
78,2017-11-28,949.85,951.35,938.1,943.35,943.35,4641893,0.0,1.0
79,2017-11-27,947.25,957.5,944.0,951.35,951.35,4680074,0.0,1.0
80,2017-11-24,950.0,959.5,947.4,951.1,951.1,6394443,0.0,1.0
81,2017-11-23,931.0,949.9,926.65,947.0,947.0,7329126,0.0,1.0
82,2017-11-22,937.45,938.65,923.45,930.75,930.75,5055490,0.0,1.0
83,2017-11-21,926.8,939.65,925.5,932.55,932.55,5980763,0.0,1.0
84,2017-11-20,906.2,924.35,905.0,920.85,920.85,4220192,0.0,1.0
85,2017-11-17,918.95,924.9,908.5,911.9,911.9,5586242,0.0,1.0
86,2017-11-16,885.5,906.0,885.5,903.85,903.85,6931038,0.0,1.0
87,2017-11-15,884.5,890.6,877.95,883.7,883.7,6981872,0.0,1.0
88,2017-11-14,875.0,895.0,873.0,886.7,886.7,5706105,0.0,1.0
89,2017-11-13,885.0,891.9,873.5,875.25,875.25,4155011,0.0,1.0
90,2017-11-10,900.95,900.95,879.2,883.85,883.85,6365174,0.0,1.0
91,2017-11-09,894.75,909.9,892.05,900.5,900.5,6860798,0.0,1.0
92,2017-11-08,902.5,906.0,884.1,887.8,887.8,8115980,0.0,1.0
93,2017-11-07,933.35,935.0,903.05,906.7,906.7,9347943,0.0,1.0
94,2017-11-06,942.5,942.5,929.0,932.5,932.5,4460799,0.0,1.0
95,2017-11-03,955.95,955.95,940.15,945.3,945.3,2193730,0.0,1.0
96,2017-11-02,952.8,956.5,944.25,946.6,946.6,4698609,0.0,1.0
97,2017-11-01,947.75,957.8,945.75,952.55,952.55,8033040,0.0,1.0
98,2017-10-31,944.95,945.75,932.2,940.85,940.85,4345360,0.0,1.0
99,2017-10-30,934.0,945.55,930.6,942.5,942.5,3576533,0.0,1.0
100,2017-10-27,950.0,956.7,925.7,929.85,929.85,5256749,0.0,1.0
101,2017-10-26,940.0,957.8,931.0,947.4,947.4,7698704,0.0,1.0
102,2017-10-25,940.1,945.9,929.5,939.9,939.9,4577050,0.0,1.0
103,2017-10-24,947.7,947.7,928.2,934.25,934.25,6335308,0.0,1.0
104,2017-10-23,909.9,944.7,909.1,939.75,939.75,12551649,0.0,1.0
105,2017-10-19,915.8,921.9,903.0,909.9,909.9,3664082,0.0,1.0
106,2017-10-18,877.4,917.9,875.0,914.5,914.5,16765178,0.0,1.0
107,2017-10-17,878.0,884.0,867.2,874.35,874.35,6354084,0.0,1.0
